"","num_employees","salaries_of_2017","annual_salary_adjustments","stringAsFactors","salaries_of_2018","raise_got"
"1","Employee 1",41476.548940409,-2974.76645559072,FALSE,38501.7824848182,FALSE
"2","Employee 2",40826.1342346668,2082.45023735799,FALSE,42908.5844720248,TRUE
"3","Employee 3",45314.5728330128,5229.48422003537,FALSE,50544.0570530482,TRUE
"4","Employee 4",43380.7883947156,5108.98831649683,FALSE,48489.7767112125,TRUE
"5","Employee 5",42494.0932961181,3940.48708491027,FALSE,46434.5803810284,TRUE
"6","Employee 6",43366.218926385,8345.36179900169,FALSE,51711.5807253867,TRUE
"7","Employee 7",44448.5568697564,-767.711717635393,FALSE,43680.845152121,FALSE
"8","Employee 8",44489.6342046559,-3696.94179971702,FALSE,40792.6924049389,FALSE
"9","Employee 9",42588.0817067809,-4310.24438003078,FALSE,38277.8373267502,FALSE
"10","Employee 10",44879.474483896,4125.84047880955,FALSE,49005.3149627056,TRUE
"11","Employee 11",45060.9467644244,-3933.37140325457,FALSE,41127.5753611699,FALSE
"12","Employee 12",40463.436699938,777.561460854486,FALSE,41240.9981607925,TRUE
"13","Employee 13",40075.2554112114,2106.16864846088,FALSE,42181.4240596723,TRUE
"14","Employee 14",45165.1127566583,-910.735491197556,FALSE,44254.3772654608,FALSE
"15","Employee 15",47465.1549011469,5355.24438833818,FALSE,52820.3992894851,TRUE
"16","Employee 16",42390.3629439883,2636.93540357053,FALSE,45027.2983475588,TRUE
"17","Employee 17",41688.567660749,-4710.96037887037,FALSE,36977.6072818786,FALSE
"18","Employee 18",42471.5750548057,-3656.07364452444,FALSE,38815.5014102813,FALSE
"19","Employee 19",41340.0453864597,8580.78562654555,FALSE,49920.8310130052,TRUE
"20","Employee 20",40186.476923991,7324.17654595338,FALSE,47510.6534699444,TRUE
"21","Employee 21",41355.5753231049,-798.015594482422,FALSE,40557.5597286224,FALSE
"22","Employee 22",49734.5574805513,787.33587753959,FALSE,50521.8933580909,TRUE
"23","Employee 23",48814.0653236769,3254.43660840392,FALSE,52068.5019320808,TRUE
"24","Employee 24",47430.288689211,6888.6766617652,FALSE,54318.9653509762,TRUE
"25","Employee 25",40122.3231619224,7166.32197261788,FALSE,47288.6451345403,TRUE
"26","Employee 26",45407.4037610553,-1705.10002528317,FALSE,43702.3037357721,FALSE
"27","Employee 27",44468.7427883036,7125.18473737873,FALSE,51593.9275256824,TRUE
"28","Employee 28",46834.2144507915,2707.74566568434,FALSE,49541.9601164758,TRUE
"29","Employee 29",47431.0876638629,16.0941854119301,FALSE,47447.1818492748,TRUE
"30","Employee 30",48701.053597033,7438.9420740772,FALSE,56139.9956711102,TRUE
"31","Employee 31",41002.0990064368,-4064.26548375748,FALSE,36937.8335226793,FALSE
"32","Employee 32",40137.5950616784,8702.65361620113,FALSE,48840.2486778796,TRUE
"33","Employee 33",46475.2581948414,9756.1209066771,FALSE,56231.3791015185,TRUE
"34","Employee 34",49418.6820602044,7137.7361798659,FALSE,56556.4182400703,TRUE
"35","Employee 35",44300.0974459574,-2656.54454356991,FALSE,41643.5529023875,FALSE
"36","Employee 36",41691.926328931,2066.47268496454,FALSE,43758.3990138955,TRUE
"37","Employee 37",49025.1169702969,-124.061475507915,FALSE,48901.055494789,FALSE
"38","Employee 38",40029.3939141557,8550.75781815685,FALSE,48580.1517323125,TRUE
"39","Employee 39",40372.0902837813,-469.746130984277,FALSE,39902.344152797,FALSE
"40","Employee 40",43531.3250892796,271.580615080893,FALSE,43802.9057043605,TRUE
"41","Employee 41",45642.4155924469,2632.05762137659,FALSE,48274.4732138235,TRUE
"42","Employee 42",48212.8951908089,1263.17421905696,FALSE,49476.0694098659,TRUE
"43","Employee 43",45924.1247409955,7552.52524046227,FALSE,53476.6499814577,TRUE
"44","Employee 44",40437.8081136383,443.151911022142,FALSE,40880.9600246605,TRUE
"45","Employee 45",47289.4965624437,2520.15839330852,FALSE,49809.6549557522,TRUE
"46","Employee 46",40908.9842694812,8325.83980867639,FALSE,49234.8240781575,TRUE
"47","Employee 47",47213.0271256901,5186.92036042921,FALSE,52399.9474861193,TRUE
"48","Employee 48",44728.1476506032,-4830.87176689878,FALSE,39897.2758837044,FALSE
"49","Employee 49",47619.733682368,-2092.69878221676,FALSE,45527.0349001512,FALSE
"50","Employee 50",44658.6149604991,7365.75097078457,FALSE,52024.3659312837,TRUE
"51","Employee 51",49923.9519727416,-195.396458730102,FALSE,49728.5555140115,FALSE
"52","Employee 52",48677.1092540585,9913.54421712458,FALSE,58590.653471183,TRUE
"53","Employee 53",46076.9715206698,-3957.42872613482,FALSE,42119.5427945349,FALSE
"54","Employee 54",46601.5359177254,9297.38503182307,FALSE,55898.9209495485,TRUE
"55","Employee 55",40462.6570711844,-2560.58580940589,FALSE,37902.0712617785,FALSE
"56","Employee 56",45702.063520439,110.237902263179,FALSE,45812.3014227021,TRUE
"57","Employee 57",44412.2220575809,7467.62739494443,FALSE,51879.8494525254,TRUE
"58","Employee 58",47551.6087468714,5747.57369235158,FALSE,53299.1824392229,TRUE
"59","Employee 59",44117.204900831,6462.08695718087,FALSE,50579.2918580119,TRUE
"60","Employee 60",47044.048034586,485.00495729968,FALSE,47529.0529918857,TRUE
"61","Employee 61",49015.4760470614,4047.41385020316,FALSE,53062.8898972645,TRUE
"62","Employee 62",47882.5748944655,3296.33574467152,FALSE,51178.910639137,TRUE
"63","Employee 63",49044.457396958,5823.58796382323,FALSE,54868.0453607813,TRUE
"64","Employee 64",46811.2667975947,8676.60876247101,FALSE,55487.8755600657,TRUE
"65","Employee 65",43034.6708907746,-4640.74103045277,FALSE,38393.9298603218,FALSE
"66","Employee 66",48358.9376090094,1772.43540645577,FALSE,50131.3730154652,TRUE
"67","Employee 67",43783.749777358,6560.9557623975,FALSE,50344.7055397555,TRUE
"68","Employee 68",44170.3987284563,1367.48980148695,FALSE,45537.8885299433,TRUE
"69","Employee 69",41032.4945161119,6855.68754794076,FALSE,47888.1820640527,TRUE
"70","Employee 70",43200.4496804439,7645.17303206958,FALSE,50845.6227125134,TRUE
"71","Employee 71",41293.478240259,7149.4653087575,FALSE,48442.9435490165,TRUE
"72","Employee 72",43731.1780289747,-2703.04657053202,FALSE,41028.1314584427,FALSE
"73","Employee 73",40192.8033516742,568.206710740924,FALSE,40761.0100624152,TRUE
"74","Employee 74",49421.9955755398,2250.47317682765,FALSE,51672.4687523674,TRUE
"75","Employee 75",42027.9723522253,-3506.87618018128,FALSE,38521.0961720441,FALSE
"76","Employee 76",46035.7706039213,8696.58001931384,FALSE,54732.3506232351,TRUE
"77","Employee 77",45052.4579314515,3248.75743244775,FALSE,48301.2153638992,TRUE
"78","Employee 78",47515.0936632417,7024.59126478061,FALSE,54539.6849280223,TRUE
"79","Employee 79",44071.5126739815,4171.90923821181,FALSE,48243.4219121933,TRUE
"80","Employee 80",48747.5014687516,7066.80239643902,FALSE,55814.3038651906,TRUE
"81","Employee 81",40045.4743299633,2365.0784464553,FALSE,42410.5527764186,TRUE
"82","Employee 82",48585.0671469234,8209.5567684155,FALSE,56794.6239153389,TRUE
"83","Employee 83",43505.3257504478,4327.58516981266,FALSE,47832.9109202605,TRUE
"84","Employee 84",41043.2758741081,1762.17358908616,FALSE,42805.4494631942,TRUE
"85","Employee 85",47148.9253407344,470.117069780827,FALSE,47619.0424105152,TRUE
"86","Employee 86",48271.0801390931,-3022.49209373258,FALSE,45248.5880453605,FALSE
"87","Employee 87",48894.7594841011,12.3863737098873,FALSE,48907.145857811,TRUE
"88","Employee 88",46398.0656280182,9118.02060552873,FALSE,55516.086233547,TRUE
"89","Employee 89",49004.903298337,7643.26837379485,FALSE,56648.1716721319,TRUE
"90","Employee 90",45858.2177385688,3312.47016438283,FALSE,49170.6879029516,TRUE
"91","Employee 91",49301.3489060104,2674.94982108474,FALSE,51976.2987270951,TRUE
"92","Employee 92",47672.282368876,6688.11157695018,FALSE,54360.3939458262,TRUE
"93","Employee 93",48238.2427342236,-3096.2751165498,FALSE,45141.9676176738,FALSE
"94","Employee 94",44942.8442493081,6845.19568574615,FALSE,51788.0399350543,TRUE
"95","Employee 95",42822.2969640046,-4934.03836502694,FALSE,37888.2585989777,FALSE
"96","Employee 96",46050.3003187478,-4246.12919799984,FALSE,41804.1711207479,FALSE
"97","Employee 97",49641.0428266972,3448.47001484595,FALSE,53089.5128415432,TRUE
"98","Employee 98",49577.9892918654,2491.02815054357,FALSE,52069.0174424089,TRUE
"99","Employee 99",43550.5692195147,8098.90822158195,FALSE,51649.4774410967,TRUE
"100","Employee 100",45338.3169439621,8004.65542823076,FALSE,53342.9723721929,TRUE
